date,total
11/1/2021,9.696969697
11/2/2021,9.696969697
11/3/2021,8.484848485
11/4/2021,9.090909091
11/5/2021,6.666666667
11/6/2021,3.636363636
11/7/2021,3.03030303
11/8/2021,6.060606061
11/9/2021,7.878787879
11/10/2021,7.878787879
11/11/2021,6.666666667
11/12/2021,7.878787879
11/13/2021,3.636363636
11/14/2021,3.03030303
11/15/2021,7.272727273
11/16/2021,7.272727273
11/17/2021,6.666666667
11/18/2021,7.272727273
11/19/2021,7.878787879
11/20/2021,3.03030303
11/21/2021,2.424242424
11/22/2021,5.454545455
11/23/2021,5.454545455
11/24/2021,6.060606061
11/25/2021,3.03030303
11/26/2021,5.454545455
11/27/2021,3.03030303
11/28/2021,2.424242424
11/29/2021,5.454545455
11/30/2021,6.666666667
12/1/2021,7.272727273
12/2/2021,6.060606061
12/3/2021,6.060606061
12/4/2021,3.03030303
12/5/2021,2.424242424
12/6/2021,7.272727273
12/7/2021,6.666666667
12/8/2021,6.060606061
12/9/2021,5.454545455
12/10/2021,4.848484848
12/11/2021,3.03030303
12/12/2021,1.818181818
12/13/2021,5.454545455
12/14/2021,5.454545455
12/15/2021,5.454545455
12/16/2021,6.060606061
12/17/2021,4.848484848
12/18/2021,2.424242424
12/19/2021,1.818181818
12/20/2021,4.848484848
12/21/2021,5.454545455
12/22/2021,6.060606061
12/23/2021,6.060606061
12/24/2021,2.424242424
12/25/2021,2.424242424
12/26/2021,1.818181818
12/27/2021,4.848484848
12/28/2021,4.848484848
12/29/2021,5.454545455
12/30/2021,4.848484848
12/31/2021,4.848484848
1/1/2022,2.424242424
1/2/2022,3.03030303
1/3/2022,4.848484848
1/4/2022,4.848484848
1/5/2022,4.848484848
1/6/2022,5.454545455
1/7/2022,6.060606061
1/8/2022,3.03030303
1/9/2022,2.424242424
1/10/2022,4.848484848
1/11/2022,4.848484848
1/12/2022,4.848484848
1/13/2022,4.242424242
1/14/2022,4.242424242
1/15/2022,3.03030303
1/16/2022,2.424242424
1/17/2022,3.03030303
1/18/2022,4.848484848
1/19/2022,4.848484848
1/20/2022,4.848484848
1/21/2022,4.848484848
1/22/2022,3.636363636
1/23/2022,2.424242424
1/24/2022,7.272727273
1/25/2022,6.060606061
1/26/2022,5.454545455
1/27/2022,5.454545455
1/28/2022,5.454545455
1/29/2022,3.03030303
1/30/2022,2.424242424
1/31/2022,5.454545455
2/1/2022,6.060606061
2/2/2022,21.21212121
2/3/2022,100
2/4/2022,80
2/5/2022,24.24242424
2/6/2022,13.33333333
2/7/2022,27.27272727
2/8/2022,27.27272727
2/9/2022,21.21212121
2/10/2022,14.54545455
2/11/2022,13.33333333
2/12/2022,6.060606061
2/13/2022,4.848484848
2/14/2022,12.12121212
2/15/2022,12.72727273
2/16/2022,13.33333333
2/17/2022,13.33333333
2/18/2022,13.93939394
2/19/2022,7.272727273
2/20/2022,3.636363636
2/21/2022,6.666666667
2/22/2022,12.12121212
2/23/2022,11.51515152
2/24/2022,15.15151515
2/25/2022,10.3030303
2/26/2022,4.848484848
2/27/2022,3.03030303
2/28/2022,9.090909091
3/1/2022,8.484848485
